64
A Step Beyond,Work It Out (Miami Bass Mix)
Axel Foley Theme,Dj TaMeiL
B,O
Bahamut,Bump In The Night
Baile Frik (Original Mix)
Baile Funk One
Blow Your Whistle
Cowboy
D.J. EFX,Transbeat (B1)
DJ Fixx,Switch
DJ Maestro,New Dance Kraze (Cali Mix 1988)
DJ Marquis,The Party (Y2K Mix)
DJ Sandrinho "Berimbau"
DTU,LOOK INTO MY EYES
Dance Dance Dance (Zegon Remix)
Dave Nunes, Bronka,Volt Mix Ácido Envolvente
Deize Tigrona "Me Chinga"
Diplo,Favela on Blast
Dj Absolutely Shit,My Desire
Dj Overdose,Don't Stop
DoggyStyle
Dukeyman,Rockwilder
Dusmeu
Freestyle Project,Pump This Party (Hyperbeat Mix)
Freestylers,Drop The Boom
Ill,Versed
Jean Aï Nipon & Orgasmic,Virginie
Just Say Yo,Slip Slam Bam (Instrumental)
Lady Sovereign Ch,Ching [Spank Rock Remix]
MARIA GASOLINA (MINA QUEBRETE) Funk Mix by Dennis DJ
Marina do Bairro
Megamon
Mike & Charlie,The Hop
Munchi,Baile Pega Fogo
Munchi,Colombia Montagem
Os Salientes,- Fofucha Preparada
Ron C Dookie Booty
Scotty Marz "Hot Butta" (BLR002)
Segment 2,Cold Pump (That Body) (Dub)
Shotgun Buck
Situation Hot
Supersonic Bass (Check This Out)
THE FREAKAZOIDS – NEED ANOTHER BEAT (DUB EDIT 01)
Tati Quebra Barraco,Boladona
The painted cheeks
Tricky D,Take it to the Max
What They Do
