artist,title,raw_title,date,source_url
De Grandi,Plans (Drum Mix),De Grandi - Plans (Drum Mix),2026-03-24,https://www.youtube.com/watch?v=mTBUmizflnc
Bamao Yendé,Bamzinho Guevara,Bamao Yendé  - Bamzinho Guevara (Official Audio),2026-03-24,https://www.youtube.com/watch?v=RI786Tjr2tc
Lusio Toledo,Puta Madre (Joe T Vannelli Electro Vocal Mix),Puta Madre (Joe T Vannelli Electro Vocal Mix),2026-03-24,https://www.youtube.com/watch?v=xdiDiFTvkOc
JDS,Punk Or Funk (Cesar Del Rio Remix),JDS - Punk Or Funk (Cesar Del Rio Remix),2026-03-24,https://www.youtube.com/watch?v=X_FPMcotavw
